locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMAGBKIO_00127	CDS	1017	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
IMAGBKIO_00128	CDS	513				hypothetical protein
IMAGBKIO_00129	CDS	1221	kmo_1	1.14.13.9		Kynurenine 3-monooxygenase
IMAGBKIO_00130	CDS	744	walR_1		COG0745	Transcriptional regulatory protein WalR
IMAGBKIO_00131	CDS	1062				hypothetical protein
IMAGBKIO_00132	CDS	621				hypothetical protein
IMAGBKIO_00133	CDS	1335				hypothetical protein
IMAGBKIO_00134	CDS	588				hypothetical protein
IMAGBKIO_00135	CDS	582				hypothetical protein
IMAGBKIO_00136	CDS	735	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
IMAGBKIO_00137	CDS	1032	rpsA_1		COG0539	30S ribosomal protein S1
IMAGBKIO_00138	CDS	108	psbT			Photosystem II reaction center protein T
IMAGBKIO_00139	CDS	1530	psbB			Photosystem II CP47 reaction center protein
IMAGBKIO_00140	CDS	324				hypothetical protein
IMAGBKIO_00141	CDS	1659	gsiB		COG0747	Glutathione-binding protein GsiB
IMAGBKIO_00142	CDS	1026	dppB_1		COG0601	Dipeptide transport system permease protein DppB
IMAGBKIO_00143	CDS	909	rnhA	3.1.26.4		Ribonuclease H
IMAGBKIO_00144	CDS	1191				hypothetical protein
IMAGBKIO_00145	CDS	906				hypothetical protein
IMAGBKIO_00146	CDS	450				hypothetical protein
IMAGBKIO_00147	CDS	279	rpmA		COG0211	50S ribosomal protein L27
IMAGBKIO_00148	CDS	393				hypothetical protein
IMAGBKIO_00149	CDS	246				hypothetical protein
IMAGBKIO_00150	CDS	387				hypothetical protein
IMAGBKIO_00151	CDS	1089				hypothetical protein
IMAGBKIO_00152	CDS	297				hypothetical protein
IMAGBKIO_00153	CDS	1125	bchI	6.6.1.1	COG1239	Magnesium-chelatase 38 kDa subunit
IMAGBKIO_00154	CDS	1614	dap	3.4.11.19		D-aminopeptidase
IMAGBKIO_00155	CDS	1191	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
IMAGBKIO_00156	CDS	1014				hypothetical protein
IMAGBKIO_00157	CDS	618				hypothetical protein
IMAGBKIO_00158	CDS	669				hypothetical protein
IMAGBKIO_00159	CDS	903				hypothetical protein
IMAGBKIO_00160	CDS	1194	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
IMAGBKIO_00161	CDS	1155	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
IMAGBKIO_00162	CDS	336	petJ_1		COG2010	Cytochrome c6
IMAGBKIO_00163	CDS	801				hypothetical protein
IMAGBKIO_00164	CDS	177				hypothetical protein
IMAGBKIO_00165	CDS	414				hypothetical protein
IMAGBKIO_00166	CDS	114				hypothetical protein
IMAGBKIO_00167	CDS	2466	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
IMAGBKIO_00168	CDS	1488	treA	3.2.1.28	COG1626	Periplasmic trehalase
IMAGBKIO_00169	CDS	2769				hypothetical protein
IMAGBKIO_00170	CDS	1821	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
IMAGBKIO_00171	CDS	1929				hypothetical protein
IMAGBKIO_00172	CDS	255				hypothetical protein
IMAGBKIO_00173	tRNA	85				tRNA-Leu(caa)
IMAGBKIO_00174	CDS	1098	hmo	1.1.3.46		4-hydroxymandelate oxidase
IMAGBKIO_00175	CDS	246	yoeB	3.1.-.-	COG4115	Toxin YoeB
IMAGBKIO_00176	CDS	360				hypothetical protein
IMAGBKIO_00177	CDS	876	htpX_1	3.4.24.-		Protease HtpX
IMAGBKIO_00178	CDS	1344	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
IMAGBKIO_00179	tRNA	82				tRNA-Leu(cag)
IMAGBKIO_00180	CDS	783	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
IMAGBKIO_00181	CDS	264				hypothetical protein
IMAGBKIO_00182	CDS	1794	dfa5_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 5
IMAGBKIO_00183	CDS	1740	dfa3_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 3
IMAGBKIO_00184	CDS	246				hypothetical protein
IMAGBKIO_00185	CDS	783	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
IMAGBKIO_00186	CDS	1431				hypothetical protein
IMAGBKIO_00187	CDS	2148	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_00188	CDS	1284				hypothetical protein
IMAGBKIO_00189	CDS	303				hypothetical protein
IMAGBKIO_00190	CDS	1605	murJ			lipid II flippase MurJ
IMAGBKIO_00191	CDS	507				Pentapeptide repeat protein Rfr32
IMAGBKIO_00192	CDS	1512	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
IMAGBKIO_00193	CDS	1065	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
IMAGBKIO_00194	CDS	1644	ubiB_1	2.7.-.-		protein kinase UbiB
IMAGBKIO_00195	CDS	981	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IMAGBKIO_00196	CDS	789				hypothetical protein
IMAGBKIO_00197	CDS	1662				hypothetical protein
IMAGBKIO_00198	CDS	855	dhaA_1	3.8.1.5		Haloalkane dehalogenase
IMAGBKIO_00199	CDS	582				hypothetical protein
IMAGBKIO_00200	CDS	354	yffB		COG1393	Protein YffB
IMAGBKIO_00201	CDS	1332				hypothetical protein
IMAGBKIO_00202	CDS	927				hypothetical protein
IMAGBKIO_00203	CDS	567				hypothetical protein
IMAGBKIO_00204	CDS	534				hypothetical protein
IMAGBKIO_00205	CDS	1281	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
IMAGBKIO_00206	CDS	756	yciO		COG0009	putative protein YciO
IMAGBKIO_00207	CDS	1215				hypothetical protein
IMAGBKIO_00208	CDS	480				hypothetical protein
IMAGBKIO_00209	CDS	183				hypothetical protein
IMAGBKIO_00210	CDS	2157	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
IMAGBKIO_00211	CDS	183				hypothetical protein
IMAGBKIO_00212	CDS	1599	phoD_1	3.1.3.1	COG3540	Alkaline phosphatase D
IMAGBKIO_00213	CDS	552				hypothetical protein
IMAGBKIO_00214	CDS	1122				hypothetical protein
IMAGBKIO_00215	CDS	441				hypothetical protein
IMAGBKIO_00216	CDS	381				hypothetical protein
IMAGBKIO_00217	CDS	900	folD_1		COG0190	Bifunctional protein FolD protein
IMAGBKIO_00218	CDS	930		2.5.1.10		Farnesyl diphosphate synthase
IMAGBKIO_00219	CDS	471				hypothetical protein
IMAGBKIO_00220	CDS	735				hypothetical protein
IMAGBKIO_00221	CDS	330				Ycf54-like protein
IMAGBKIO_00222	CDS	720				hypothetical protein
IMAGBKIO_00223	CDS	747	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
IMAGBKIO_00224	CDS	1758				hypothetical protein
IMAGBKIO_00225	CDS	735	tzs	2.5.1.27		Adenylate dimethylallyltransferase
IMAGBKIO_00226	CDS	495				hypothetical protein
IMAGBKIO_00227	CDS	1137	gltA	2.3.3.16	COG0372	Citrate synthase
IMAGBKIO_00228	CDS	1119	ndhA	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
IMAGBKIO_00229	CDS	585	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I
IMAGBKIO_00230	CDS	609				hypothetical protein
IMAGBKIO_00231	CDS	306	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
IMAGBKIO_00232	CDS	921	nadK_1	2.7.1.23	COG0061	NAD kinase
IMAGBKIO_00233	CDS	804				hypothetical protein
IMAGBKIO_00234	CDS	225				hypothetical protein
IMAGBKIO_00235	CDS	1608				hypothetical protein
IMAGBKIO_00236	CDS	1158	lptC			Lipopolysaccharide export system protein LptC
IMAGBKIO_00237	CDS	630				hypothetical protein
IMAGBKIO_00238	CDS	1593	metG	6.1.1.10	COG0143	Methionine--tRNA ligase
IMAGBKIO_00239	CDS	726				hypothetical protein
IMAGBKIO_00240	CDS	831	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
IMAGBKIO_00241	CDS	1059				hypothetical protein
IMAGBKIO_00242	CDS	1476	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
IMAGBKIO_00243	CDS	1026	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
IMAGBKIO_00244	CDS	993	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
IMAGBKIO_00245	CDS	879	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
IMAGBKIO_00246	CDS	639				hypothetical protein
IMAGBKIO_00247	CDS	1038			COG0628	Putative transport protein
IMAGBKIO_00248	CDS	294				hypothetical protein
IMAGBKIO_00249	CDS	504				hypothetical protein
IMAGBKIO_00250	tRNA	77				tRNA-Arg(cct)
IMAGBKIO_00251	CDS	1077				hypothetical protein
IMAGBKIO_00252	CDS	612	dnaJ_1			Chaperone protein DnaJ
IMAGBKIO_00253	CDS	915	pkwA_1	2.7.11.1		putative serine/threonine-protein kinase PkwA
IMAGBKIO_00254	CDS	657				hypothetical protein
IMAGBKIO_00255	CDS	963				IS110 family transposase ISMae40
IMAGBKIO_00256	CDS	828	lpxG_1	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
IMAGBKIO_00257	CDS	831	lpxG_2	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
IMAGBKIO_00258	CDS	1890	nhaP2_1			K(+)/H(+) antiporter NhaP2
IMAGBKIO_00259	CDS	639	petB_1			Cytochrome b6
IMAGBKIO_00260	CDS	696				hypothetical protein
IMAGBKIO_00261	CDS	1476				hypothetical protein
IMAGBKIO_00262	CDS	366	petJ_2		COG2010	Cytochrome c6
IMAGBKIO_00263	CDS	420	petE			Plastocyanin
IMAGBKIO_00264	CDS	492	psbV			Cytochrome c-550
IMAGBKIO_00265	CDS	156				hypothetical protein
IMAGBKIO_00266	CDS	831	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
IMAGBKIO_00267	CDS	774	thadh	4.3.1.16		L-threo-3-hydroxyaspartate ammonia-lyase
IMAGBKIO_00268	CDS	1203				hypothetical protein
IMAGBKIO_00269	CDS	456	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_00270	CDS	561				hypothetical protein
IMAGBKIO_00271	CDS	1311	pepP_1	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
IMAGBKIO_00272	CDS	1227				hypothetical protein
IMAGBKIO_00273	CDS	768				hypothetical protein
IMAGBKIO_00274	CDS	600	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
IMAGBKIO_00275	CDS	456	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
IMAGBKIO_00276	CDS	531	ybeY	3.1.-.-		Endoribonuclease YbeY
IMAGBKIO_00277	CDS	156				hypothetical protein
IMAGBKIO_00278	CDS	876	prfB			Peptide chain release factor 2
IMAGBKIO_00279	CDS	2481				hypothetical protein
IMAGBKIO_00280	CDS	3084				hypothetical protein
IMAGBKIO_00281	CDS	7047				hypothetical protein
IMAGBKIO_00282	CDS	786	sigB_1		COG1191	RNA polymerase sigma-B factor
IMAGBKIO_00283	CDS	2037				hypothetical protein
IMAGBKIO_00284	CDS	585				hypothetical protein
IMAGBKIO_00285	CDS	672	rnc_1	3.1.26.3	COG0571	Ribonuclease 3
IMAGBKIO_00286	CDS	111				hypothetical protein
IMAGBKIO_00287	CDS	489				hypothetical protein
IMAGBKIO_00288	CDS	5244				hypothetical protein
IMAGBKIO_00289	CDS	5136	tolB_2			Tol-Pal system protein TolB
IMAGBKIO_00290	CDS	345				hypothetical protein
IMAGBKIO_00291	CDS	321	qacC			Quaternary ammonium compound-resistance protein QacC
IMAGBKIO_00292	CDS	453	hspA_1		COG0071	Spore protein SP21
IMAGBKIO_00293	CDS	831				hypothetical protein
IMAGBKIO_00294	CDS	669		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
IMAGBKIO_00295	CDS	1188	rihA_1	3.2.-.-		Pyrimidine-specific ribonucleoside hydrolase RihA
IMAGBKIO_00296	CDS	1971				hypothetical protein
IMAGBKIO_00297	CDS	465				hypothetical protein
IMAGBKIO_00298	CDS	600				hypothetical protein
IMAGBKIO_00299	CDS	3996				hypothetical protein
IMAGBKIO_00300	CDS	699			COG0664	Cyclic AMP receptor protein
IMAGBKIO_00301	CDS	774				hypothetical protein
IMAGBKIO_00302	CDS	1155				hypothetical protein
IMAGBKIO_00303	CDS	375				hypothetical protein
IMAGBKIO_00304	CDS	1167				hypothetical protein
IMAGBKIO_00305	CDS	981		1.-.-.-	COG0667	putative oxidoreductase
IMAGBKIO_00306	CDS	1248				hypothetical protein
IMAGBKIO_00307	CDS	729				hypothetical protein
IMAGBKIO_00308	CDS	345				hypothetical protein
IMAGBKIO_00309	CDS	2976				hypothetical protein
IMAGBKIO_00310	CDS	963				IS110 family transposase ISMae40
IMAGBKIO_00311	CDS	345				hypothetical protein
IMAGBKIO_00312	CDS	3537	metH	2.1.1.13	COG0646	Methionine synthase
IMAGBKIO_00313	CDS	1053				hypothetical protein
IMAGBKIO_00314	CDS	177				hypothetical protein
IMAGBKIO_00315	CDS	372				hypothetical protein
IMAGBKIO_00316	CDS	1764	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
IMAGBKIO_00317	CDS	333				hypothetical protein
IMAGBKIO_00318	CDS	774				IS200/IS605 family transposase ISAsp18
IMAGBKIO_00319	CDS	408				IS200/IS605 family transposase ISAsp18
IMAGBKIO_00320	CDS	888	lip1_1	3.1.1.3		Lipase 1
IMAGBKIO_00321	CDS	312	ccmK		COG4577	Carbon dioxide-concentrating mechanism protein CcmK
IMAGBKIO_00322	CDS	354	ccmK4			Carbon dioxide-concentrating mechanism protein CcmK 
IMAGBKIO_00323	CDS	267				hypothetical protein
IMAGBKIO_00324	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
IMAGBKIO_00325	CDS	870	cysT		COG0555	Sulfate transport system permease protein CysT
IMAGBKIO_00326	CDS	1146	sbpA		COG1613	Sulfate-binding protein
IMAGBKIO_00327	CDS	5427	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
IMAGBKIO_00328	CDS	1344	fas5			putative oxidoreductase ORF5 in fasciation locus
IMAGBKIO_00329	CDS	735				hypothetical protein
IMAGBKIO_00330	CDS	675				hypothetical protein
IMAGBKIO_00331	CDS	780	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
IMAGBKIO_00332	CDS	1515	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
IMAGBKIO_00333	CDS	420	psaD			Photosystem I reaction center subunit II
IMAGBKIO_00334	CDS	1911	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
IMAGBKIO_00335	CDS	2286				hypothetical protein
IMAGBKIO_00336	CDS	369				hypothetical protein
IMAGBKIO_00337	CDS	351				hypothetical protein
IMAGBKIO_00338	CDS	318				hypothetical protein
IMAGBKIO_00339	CDS	1848	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase
IMAGBKIO_00340	CDS	471				hypothetical protein
IMAGBKIO_00341	CDS	366				hypothetical protein
IMAGBKIO_00342	CDS	186				hypothetical protein
IMAGBKIO_00343	CDS	228				hypothetical protein
IMAGBKIO_00344	CDS	1191				hypothetical protein
IMAGBKIO_00345	CDS	873				hypothetical protein
IMAGBKIO_00346	CDS	1314	dctA			C4-dicarboxylate transport protein
IMAGBKIO_00347	CDS	507				hypothetical protein
IMAGBKIO_00348	CDS	2343	pknD_2	2.7.11.1		Serine/threonine-protein kinase PknD
IMAGBKIO_00349	CDS	813				hypothetical protein
IMAGBKIO_00350	CDS	123				hypothetical protein
IMAGBKIO_00351	CDS	909	thrB	2.7.1.39	COG0083	Homoserine kinase
IMAGBKIO_00352	CDS	540				hypothetical protein
IMAGBKIO_00353	CDS	1614	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
IMAGBKIO_00354	CDS	417				hypothetical protein
IMAGBKIO_00355	CDS	561				hypothetical protein
IMAGBKIO_00356	CDS	909				hypothetical protein
IMAGBKIO_00357	CDS	747	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
IMAGBKIO_00358	CDS	918	nodD2			Nodulation protein D 2
IMAGBKIO_00359	CDS	5415	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
IMAGBKIO_00360	CDS	1068	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
IMAGBKIO_00361	CDS	861				hypothetical protein
IMAGBKIO_00362	CDS	1632				hypothetical protein
IMAGBKIO_00363	CDS	252				hypothetical protein
IMAGBKIO_00364	CDS	747				hypothetical protein
IMAGBKIO_00365	CDS	1875				hypothetical protein
IMAGBKIO_00366	CDS	510				hypothetical protein
IMAGBKIO_00367	CDS	648				IS630 family transposase ISAtsp7
IMAGBKIO_00368	CDS	360				hypothetical protein
IMAGBKIO_00369	CDS	2703				hypothetical protein
IMAGBKIO_00370	CDS	3459				hypothetical protein
IMAGBKIO_00371	CDS	3477				hypothetical protein
IMAGBKIO_00372	CDS	219				hypothetical protein
IMAGBKIO_00373	CDS	1506				hypothetical protein
IMAGBKIO_00374	CDS	705				hypothetical protein
IMAGBKIO_00375	CDS	1269	entS_1			Enterobactin exporter EntS
IMAGBKIO_00376	CDS	621				hypothetical protein
IMAGBKIO_00377	CDS	1005	apaH_1	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
IMAGBKIO_00378	CDS	1161	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
IMAGBKIO_00379	CDS	642	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
IMAGBKIO_00380	CDS	750	mfppA	3.1.3.79	COG0561	Mannosylfructose-phosphate phosphatase
IMAGBKIO_00381	CDS	462				hypothetical protein
IMAGBKIO_00382	CDS	1209	nupX		COG1972	Putative nucleoside permease NupX
IMAGBKIO_00383	CDS	759	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
IMAGBKIO_00384	CDS	309				hypothetical protein
IMAGBKIO_00385	CDS	1011	cas1-1	3.1.-.-		CRISPR-associated endonuclease Cas1 1
