locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHHDGJBG_00108	CDS	1200	lpd	1.8.1.4		Dihydrolipoyl dehydrogenase
KHHDGJBG_00109	CDS	393				hypothetical protein
KHHDGJBG_00110	CDS	240				hypothetical protein
KHHDGJBG_00111	CDS	942	xerC_1		COG4973	Tyrosine recombinase XerC
KHHDGJBG_00112	CDS	285				hypothetical protein
KHHDGJBG_00113	CDS	1119	thiO	1.4.3.19	COG0665	Glycine oxidase
KHHDGJBG_00114	CDS	495				IS630 family transposase ISTcSa
KHHDGJBG_00115	CDS	360				hypothetical protein
KHHDGJBG_00116	CDS	1992	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
KHHDGJBG_00117	CDS	426	psaD			Photosystem I reaction center subunit II
KHHDGJBG_00118	CDS	1527	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
KHHDGJBG_00119	CDS	909		2.5.1.10		Farnesyl diphosphate synthase
KHHDGJBG_00120	CDS	396				hypothetical protein
KHHDGJBG_00121	CDS	873				hypothetical protein
KHHDGJBG_00122	CDS	675	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
KHHDGJBG_00123	CDS	456	rimP			Ribosome maturation factor RimP
KHHDGJBG_00124	CDS	1377	nusA			Transcription termination/antitermination protein NusA
KHHDGJBG_00125	CDS	255				hypothetical protein
KHHDGJBG_00126	CDS	3006	infB			Translation initiation factor IF-2
KHHDGJBG_00127	CDS	669				hypothetical protein
KHHDGJBG_00128	CDS	2241	glgX_1	3.2.1.196		Glycogen debranching enzyme
KHHDGJBG_00129	CDS	423				hypothetical protein
KHHDGJBG_00130	CDS	294				IS630 family transposase ISTcSa
KHHDGJBG_00131	CDS	795	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
KHHDGJBG_00132	CDS	423				hypothetical protein
KHHDGJBG_00133	CDS	846	htpX_1	3.4.24.-		Protease HtpX
KHHDGJBG_00134	CDS	483	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
KHHDGJBG_00135	CDS	528				hypothetical protein
KHHDGJBG_00136	CDS	306				hypothetical protein
KHHDGJBG_00137	CDS	855				hypothetical protein
KHHDGJBG_00138	CDS	108	psbM			Photosystem II reaction center protein M
KHHDGJBG_00139	CDS	915		3.5.1.-	COG0123	Histone deacetylase-like amidohydrolase
KHHDGJBG_00140	CDS	921		3.5.3.24	COG0010	N(1)-aminopropylagmatine ureohydrolase
KHHDGJBG_00141	CDS	741				hypothetical protein
KHHDGJBG_00142	CDS	567	ycf4			Photosystem I assembly protein Ycf4
KHHDGJBG_00143	CDS	1479				hypothetical protein
KHHDGJBG_00144	CDS	897	gltI_1		COG0834	Glutamate/aspartate import solute-binding protein
KHHDGJBG_00145	CDS	375				hypothetical protein
KHHDGJBG_00146	CDS	537	lptD_1			LPS-assembly protein LptD
KHHDGJBG_00147	CDS	759	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
KHHDGJBG_00148	CDS	786	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
KHHDGJBG_00149	CDS	261	psaK1			Photosystem I reaction center subunit PsaK 1
KHHDGJBG_00150	CDS	273				hypothetical protein
KHHDGJBG_00151	CDS	1566	ndhB_1	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
KHHDGJBG_00152	CDS	981	phoA	3.1.3.1		Alkaline phosphatase
KHHDGJBG_00153	CDS	150				hypothetical protein
KHHDGJBG_00154	CDS	801				hypothetical protein
KHHDGJBG_00155	CDS	555		1.11.1.15		Peroxiredoxin
KHHDGJBG_00156	CDS	1896	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
KHHDGJBG_00157	CDS	102				hypothetical protein
KHHDGJBG_00158	CDS	1785	dfa5	1.-.-.-	COG0426	Putative diflavin flavoprotein A 5
KHHDGJBG_00159	CDS	519				hypothetical protein
KHHDGJBG_00160	CDS	1737	dfa3_1	1.-.-.-	COG0426	Putative diflavin flavoprotein A 3
KHHDGJBG_00161	CDS	1389				hypothetical protein
KHHDGJBG_00162	CDS	633	yciO		COG0009	putative protein YciO
KHHDGJBG_00163	CDS	1269	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
KHHDGJBG_00164	CDS	945	atpG_1		COG0224	ATP synthase gamma chain
KHHDGJBG_00165	CDS	1512	atpA	7.1.2.2		ATP synthase subunit alpha
KHHDGJBG_00166	CDS	558	atpH_1		COG0712	ATP synthase subunit delta
KHHDGJBG_00167	CDS	540	atpF		COG0711	ATP synthase subunit b
KHHDGJBG_00168	CDS	432	atpG_2		COG0711	ATP synthase subunit b'
KHHDGJBG_00169	CDS	246	atpH_2			ATP synthase subunit c
KHHDGJBG_00170	CDS	747	atpB		COG0356	ATP synthase subunit a
KHHDGJBG_00171	CDS	384				hypothetical protein
KHHDGJBG_00172	CDS	1374				hypothetical protein
KHHDGJBG_00173	CDS	1314	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
KHHDGJBG_00174	CDS	1125				hypothetical protein
KHHDGJBG_00175	CDS	945				hypothetical protein
KHHDGJBG_00176	CDS	357	iscA		COG0316	Iron-binding protein IscA
KHHDGJBG_00177	CDS	990				hypothetical protein
KHHDGJBG_00178	CDS	669				hypothetical protein
KHHDGJBG_00179	CDS	783	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
KHHDGJBG_00180	CDS	2292				hypothetical protein
KHHDGJBG_00181	CDS	588				hypothetical protein
KHHDGJBG_00182	tRNA	76				tRNA-Pro(ggg)
KHHDGJBG_00183	CDS	786				hypothetical protein
KHHDGJBG_00184	CDS	1005				hypothetical protein
KHHDGJBG_00185	CDS	648				hypothetical protein
KHHDGJBG_00186	CDS	1425	lpdA	1.8.1.4		Dihydrolipoyl dehydrogenase
KHHDGJBG_00187	CDS	492				hypothetical protein
KHHDGJBG_00188	CDS	741				hypothetical protein
KHHDGJBG_00189	CDS	621	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
KHHDGJBG_00190	CDS	381				hypothetical protein
KHHDGJBG_00191	CDS	486				hypothetical protein
KHHDGJBG_00192	CDS	2553				hypothetical protein
KHHDGJBG_00193	CDS	2121				hypothetical protein
KHHDGJBG_00194	CDS	1842				hypothetical protein
KHHDGJBG_00195	CDS	1794	typA		COG1217	GTP-binding protein TypA/BipA 
KHHDGJBG_00196	CDS	1530				hypothetical protein
KHHDGJBG_00197	CDS	879	rbn_1	3.1.26.11		Ribonuclease BN
KHHDGJBG_00198	CDS	300				hypothetical protein
KHHDGJBG_00199	CDS	651	upp	2.4.2.9		Uracil phosphoribosyltransferase
KHHDGJBG_00200	CDS	849				hypothetical protein
KHHDGJBG_00201	CDS	1335				hypothetical protein
KHHDGJBG_00202	CDS	2007				hypothetical protein
KHHDGJBG_00203	CDS	726				hypothetical protein
KHHDGJBG_00204	CDS	2010				hypothetical protein
KHHDGJBG_00205	CDS	303	ccmL			Carbon dioxide concentrating mechanism protein CcmL
KHHDGJBG_00206	CDS	336	ccmK1			Carbon dioxide-concentrating mechanism protein CcmK 
KHHDGJBG_00207	CDS	312	ccmK2			Carbon dioxide-concentrating mechanism protein CcmK 
KHHDGJBG_00208	CDS	1485	gltB_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
KHHDGJBG_00209	CDS	1326				hypothetical protein
KHHDGJBG_00210	CDS	483				hypothetical protein
KHHDGJBG_00211	CDS	1065		3.5.1.11		Penicillin acylase
KHHDGJBG_00212	CDS	1467				hypothetical protein
KHHDGJBG_00213	CDS	777				hypothetical protein
KHHDGJBG_00214	CDS	858				hypothetical protein
KHHDGJBG_00215	CDS	1701			COG0659	putative sulfate transporter
KHHDGJBG_00216	CDS	1182	pcxA_1			Proton extrusion protein PcxA
KHHDGJBG_00217	CDS	2031				hypothetical protein
KHHDGJBG_00218	CDS	189				hypothetical protein
KHHDGJBG_00219	CDS	534				hypothetical protein
KHHDGJBG_00220	CDS	1452	speA_2	4.1.1.19	COG1982	Arginine decarboxylase
KHHDGJBG_00221	CDS	1083	ald	1.4.1.1	COG0686	Alanine dehydrogenase
KHHDGJBG_00222	CDS	726	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
KHHDGJBG_00223	CDS	321				Ycf54-like protein
KHHDGJBG_00224	CDS	1347				hypothetical protein
KHHDGJBG_00225	CDS	531	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
KHHDGJBG_00226	CDS	1185	hhoA			Putative serine protease HhoA
KHHDGJBG_00227	CDS	696	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
KHHDGJBG_00228	CDS	987	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
KHHDGJBG_00229	CDS	549	spmB			Spore maturation protein B
KHHDGJBG_00230	CDS	612	spmA		COG2715	Spore maturation protein A
KHHDGJBG_00231	CDS	1518	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
KHHDGJBG_00232	CDS	453	fosB	2.5.1.-		Metallothiol transferase FosB
KHHDGJBG_00233	CDS	1095	thiL_1	2.7.4.16	COG0611	Thiamine-monophosphate kinase
KHHDGJBG_00234	CDS	1056				hypothetical protein
KHHDGJBG_00235	CDS	1482				hypothetical protein
KHHDGJBG_00236	CDS	1359	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
KHHDGJBG_00237	CDS	2505	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
KHHDGJBG_00238	CDS	537	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
KHHDGJBG_00239	CDS	582				hypothetical protein
KHHDGJBG_00240	CDS	750	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
KHHDGJBG_00241	CDS	1137	hrcA			Heat-inducible transcription repressor HrcA
KHHDGJBG_00242	tRNA	86				tRNA-Ser(tga)
KHHDGJBG_00243	CDS	570	aroK	2.7.1.71	COG0703	Shikimate kinase 1
KHHDGJBG_00244	CDS	1176	tal	2.2.1.2		Transaldolase
KHHDGJBG_00245	CDS	198				hypothetical protein
KHHDGJBG_00246	CDS	1089				hypothetical protein
KHHDGJBG_00247	CDS	714	msrA_2	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
KHHDGJBG_00248	CDS	114				hypothetical protein
KHHDGJBG_00249	CDS	288				hypothetical protein
KHHDGJBG_00250	CDS	801	ycf3_1			Photosystem I assembly protein Ycf3
KHHDGJBG_00251	CDS	525	dnaJ_1			Chaperone protein DnaJ
KHHDGJBG_00252	CDS	606				hypothetical protein
KHHDGJBG_00253	CDS	1770				hypothetical protein
KHHDGJBG_00254	CDS	939				hypothetical protein
KHHDGJBG_00255	CDS	663				hypothetical protein
KHHDGJBG_00256	CDS	894	pheA			Bifunctional chorismate mutase/prephenate dehydratase
KHHDGJBG_00257	tRNA	72				tRNA-Thr(cgt)
KHHDGJBG_00258	CDS	1758				hypothetical protein
KHHDGJBG_00259	CDS	246				hypothetical protein
KHHDGJBG_00260	CDS	585				hypothetical protein
KHHDGJBG_00261	CDS	1179	fbiC_1		COG1060	FO synthase
KHHDGJBG_00262	CDS	372				hypothetical protein
KHHDGJBG_00263	CDS	1914				hypothetical protein
KHHDGJBG_00264	CDS	1068				hypothetical protein
KHHDGJBG_00265	CDS	576				hypothetical protein
KHHDGJBG_00266	CDS	825	birA	6.3.4.15		Bifunctional ligase/repressor BirA
KHHDGJBG_00267	CDS	411				hypothetical protein
KHHDGJBG_00268	CDS	717	menG	2.1.1.163		Demethylmenaquinone methyltransferase
KHHDGJBG_00269	CDS	252				hypothetical protein
KHHDGJBG_00270	CDS	312				hypothetical protein
KHHDGJBG_00271	CDS	1428	icd	1.1.1.42		Isocitrate dehydrogenase [NADP]
KHHDGJBG_00272	CDS	573				hypothetical protein
KHHDGJBG_00273	CDS	795				hypothetical protein
KHHDGJBG_00274	CDS	1650	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
KHHDGJBG_00275	CDS	1176				hypothetical protein
KHHDGJBG_00276	CDS	1524	crtNb_1	1.14.99.44		4,4'-diapolycopene oxygenase
KHHDGJBG_00277	CDS	273				hypothetical protein
KHHDGJBG_00278	CDS	1083	futA1			Iron uptake protein A1
KHHDGJBG_00279	CDS	696	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
KHHDGJBG_00280	CDS	174				hypothetical protein
KHHDGJBG_00281	CDS	1086	pfp_1	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
KHHDGJBG_00282	CDS	2268				hypothetical protein
KHHDGJBG_00283	CDS	396	psbU			Photosystem II 12 kDa extrinsic protein
KHHDGJBG_00284	CDS	498				hypothetical protein
KHHDGJBG_00285	CDS	147				hypothetical protein
KHHDGJBG_00286	CDS	1362	tuaD	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase TuaD
KHHDGJBG_00287	CDS	1245	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
KHHDGJBG_00288	CDS	423	crcB			Putative fluoride ion transporter CrcB
KHHDGJBG_00289	CDS	405				hypothetical protein
KHHDGJBG_00290	CDS	198				hypothetical protein
KHHDGJBG_00291	CDS	1608	smc_1			Chromosome partition protein Smc
KHHDGJBG_00292	CDS	1149				hypothetical protein
KHHDGJBG_00293	CDS	1200	egtB	1.14.99.50		Hercynine oxygenase
KHHDGJBG_00294	CDS	1299				hypothetical protein
KHHDGJBG_00295	CDS	2523	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
KHHDGJBG_00296	CDS	1458				hypothetical protein
KHHDGJBG_00297	CDS	495				hypothetical protein
KHHDGJBG_00298	CDS	852	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
KHHDGJBG_00299	CDS	651				hypothetical protein
KHHDGJBG_00300	CDS	1023	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
KHHDGJBG_00301	CDS	723	pbsA1	1.14.14.18		Heme oxygenase 1
KHHDGJBG_00302	CDS	588				hypothetical protein
KHHDGJBG_00303	CDS	237	rpmB		COG0227	50S ribosomal protein L28
KHHDGJBG_00304	CDS	1434				hypothetical protein
KHHDGJBG_00305	tRNA	74				tRNA-Pro(cgg)
KHHDGJBG_00306	CDS	663				hypothetical protein
KHHDGJBG_00307	CDS	1908	sir_1	1.8.7.1		Sulfite reductase [ferredoxin]
KHHDGJBG_00308	CDS	927				hypothetical protein
KHHDGJBG_00309	CDS	1176	dnaN		COG0592	Beta sliding clamp
KHHDGJBG_00310	CDS	795	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
KHHDGJBG_00311	CDS	450				hypothetical protein
KHHDGJBG_00312	CDS	378				hypothetical protein
KHHDGJBG_00313	CDS	1176	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
KHHDGJBG_00314	CDS	300				hypothetical protein
KHHDGJBG_00315	CDS	1506	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
KHHDGJBG_00316	CDS	1884	cysG_1	4.99.1.4		Siroheme synthase
KHHDGJBG_00317	CDS	1356				hypothetical protein
KHHDGJBG_00318	CDS	1056	aroF	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
KHHDGJBG_00319	CDS	477				hypothetical protein
KHHDGJBG_00320	CDS	270	rpsO			30S ribosomal protein S15
KHHDGJBG_00321	CDS	1014			COG0701	Putative two-component membrane permease complex subunit SMU_747c
KHHDGJBG_00322	CDS	471				hypothetical protein
KHHDGJBG_00323	CDS	513				hypothetical protein
KHHDGJBG_00324	CDS	486	apcD_1			Allophycocyanin subunit alpha-B
KHHDGJBG_00325	CDS	1263	metK	2.5.1.6		S-adenosylmethionine synthase
KHHDGJBG_00326	CDS	1005	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
KHHDGJBG_00327	CDS	609				hypothetical protein
KHHDGJBG_00328	CDS	534	infC			Translation initiation factor IF-3
KHHDGJBG_00329	CDS	843				hypothetical protein
KHHDGJBG_00330	CDS	555				hypothetical protein
KHHDGJBG_00331	tRNA	73				tRNA-Val(tac)
KHHDGJBG_00332	CDS	2271				hypothetical protein
KHHDGJBG_00333	CDS	729				hypothetical protein
KHHDGJBG_00334	CDS	831				hypothetical protein
KHHDGJBG_00335	CDS	270				hypothetical protein
KHHDGJBG_00336	CDS	432				hypothetical protein
KHHDGJBG_00337	CDS	564				hypothetical protein
KHHDGJBG_00338	CDS	1293	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KHHDGJBG_00339	CDS	771	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
KHHDGJBG_00340	CDS	1083	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
KHHDGJBG_00341	CDS	561	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
KHHDGJBG_00342	CDS	1221				hypothetical protein
KHHDGJBG_00343	CDS	453				hypothetical protein
KHHDGJBG_00344	CDS	861				hypothetical protein
KHHDGJBG_00345	CDS	591				hypothetical protein
KHHDGJBG_00346	CDS	306				hypothetical protein
KHHDGJBG_00347	CDS	1137	rfbE	2.6.1.102	COG0399	GDP-perosamine synthase
KHHDGJBG_00348	CDS	1026				hypothetical protein
KHHDGJBG_00349	CDS	1236	hldD_1	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
KHHDGJBG_00350	CDS	786	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
KHHDGJBG_00351	CDS	750				hypothetical protein
KHHDGJBG_00352	CDS	207				hypothetical protein
KHHDGJBG_00353	CDS	348				hypothetical protein
KHHDGJBG_00354	CDS	2070				hypothetical protein
KHHDGJBG_00355	CDS	1104	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KHHDGJBG_00356	CDS	1071				hypothetical protein
KHHDGJBG_00357	CDS	1206	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KHHDGJBG_00358	CDS	1023	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
KHHDGJBG_00359	CDS	357				hypothetical protein
KHHDGJBG_00360	CDS	414				hypothetical protein
KHHDGJBG_00361	CDS	858				hypothetical protein
KHHDGJBG_00362	CDS	807	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
KHHDGJBG_00363	CDS	963	gmd_2	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
KHHDGJBG_00364	CDS	1155				hypothetical protein
KHHDGJBG_00365	CDS	1332				hypothetical protein
KHHDGJBG_00366	CDS	849				IS630 family transposase ISTcSa
KHHDGJBG_00367	CDS	1146	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KHHDGJBG_00368	CDS	1161	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KHHDGJBG_00369	CDS	255				hypothetical protein
